Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
240	0.744841019436717	0.00172365564806387	1.11590021480806	0.00189311615470797	0.0546492653526366	0.0556064104610123	1.16424798816442	0.50399132501334	0.000930924725253135	99.8620630888268
241	0.70588788005989	0.00103342977399006	1.13553826378193	0.00123840543325059	0.031722908616066	0.0369905139617622	1.19817285970785	0.508031346881762	0.000992674813605845	99.9391877299175
242	0.765672456030734	0.00216249251272529	1.10432356155943	0.00136571865808219	0.0180355708673596	0.0162793050999753	1.14051839180756	0.596553127327934	0.000672874257201329	99.8024952874519
243	0.740534084662795	0.00130938098626211	1.17505184379406	0.00139708657586016	0.0568830442102626	0.00713421288086101	1.11325281467289	0.593108210084028	0.00028164839441888	99.9119360443205
244	0.71020748433657	0.00242903001373634	1.1929404735798	0.00107518201251514	0.0614844935946167	0.0491647624773905	1.16120951031335	0.551260469551198	0.000205688619986177	99.9300508966204
245	0.79312238546554	0.00144719698000699	1.14605246803258	0.00182772110821679	0.0525821526488289	0.047763529444579	1.16635491771158	0.500677419058047	0.000469391394639388	99.994267124217
246	0.781381957349367	0.00141894615860656	1.15626678185072	0.0014197443369776	0.0357336319750175	0.0141399869285524	1.19607492794748	0.585603302856907	0.000170621477300301	99.9929775889963
247	0.706156063452363	0.00203145669074729	1.16875866821501	0.00127362735243514	0.0394287951476872	0.0364930310812779	1.10870442579035	0.510749016911723	0.000701527514029294	99.8000002751127
248	0.789997610077262	0.00152098441496491	1.14607240192126	0.00128621287434362	0.0645517707196996	0.04038769871369	1.17134053830523	0.522921034204774	7.49039121437818e-05	99.916317564575
249	0.745729158632457	0.00166500265290961	1.13111167212483	0.00199527679942548	0.0620882931398228	0.0593434007903561	1.11473135952838	0.515669044689275	5.44976876117289e-05	99.8033897695597
250	0.798461352102458	0.00261920043313876	1.12207283396274	0.00145546908420511	0.0503149079252034	0.0194044063347392	1.15102046697866	0.556109754461795	0.000416553729446605	99.9212936501484
251	0.769844800140709	0.00293567697191611	1.12443646003958	0.00143069193535484	0.0544675933290273	0.0379841517275199	1.10700174565427	0.556316649331711	0.000256157934432849	99.9814478644635
252	0.799086054554209	0.00250259757973254	1.19898348585702	0.00104581633163616	0.0105801224010065	0.0535507193631493	1.12050844186451	0.583322960697114	0.000206862221937627	99.935069924267
253	0.749122014129534	0.001176448315382	1.19783874051645	0.00196505905641243	0.015428079883568	0.0513130989186466	1.1867712689098	0.589739495282993	0.00010060861101374	99.8020351341926
254	0.78875943175517	0.00137532099895179	1.16356508203316	0.0010819629477337	0.0544847762724385	0.0257597982608713	1.18059468327556	0.542455068533309	0.000651914067799226	99.8246357962489
255	0.763571089948528	0.0015530275432393	1.13076707068831	0.00125536554562859	0.059443755694665	0.00665290790749714	1.16700111376122	0.518795440718532	0.000400621203472838	99.981354972301
256	0.794486641162075	0.00189922132063657	1.19777311976068	0.00195527558657341	0.0180733893858269	0.00962200824078172	1.16403964960482	0.51638009545859	0.000972283494425938	99.9816099140793
257	0.796682796138339	0.00285191403701901	1.19908014109824	0.00101736019225791	0.0210417150845751	0.0293451833976433	1.1785357512068	0.554355887533165	0.00021408733073622	99.8508534771856
258	0.739565602550283	0.00124985148757696	1.14240699841175	0.00183025982137769	0.0430938077205792	0.0160909221069887	1.11156119557563	0.587763321888633	0.00059449609182775	99.9826965578832
259	0.705959254596382	0.00174751654267311	1.12914737032261	0.00109225730993785	0.0623674370022491	0.037447626776062	1.10690573386382	0.521809601970017	0.000840713438345119	99.8100675276015
260	0.76399813531898	0.00280002625379711	1.18002514999826	0.00180302382702939	0.0515623917849734	0.0279481001235545	1.10560118723661	0.591655414877459	3.93835424911231e-05	99.8157753905747
261	0.794166088011116	0.00220666519040242	1.19617898936849	0.00130419489950873	0.0143232126394287	0.0535467261364684	1.17177102216519	0.54315863691736	0.000116112412652001	99.9774976921733
262	0.780798020842485	0.00229225511476398	1.19140859202016	0.00106410428904928	0.0607443886995316	0.0162185921673663	1.14278040183708	0.535131816309877	0.000139808572130278	99.9242370473221
263	0.788678483432159	0.00169593613734469	1.11694561366458	0.00186371784680523	0.059519043317996	0.03052803461859	1.1456508183619	0.532151963026263	0.000951586526352912	99.8521270559635
